,country_name,country_3_letter_code,discipline_title,event_title,game_season,percentage
0,Afghanistan,AFG,Athletics,1500m men,Summer,20.0
1,Afghanistan,AFG,Athletics,400m hurdles men,Summer,20.0
2,Afghanistan,AFG,Athletics,800m men,Summer,20.0
3,Afghanistan,AFG,Athletics,long jump men,Summer,20.0
4,Afghanistan,AFG,Athletics,marathon men,Summer,20.0
5,Afghanistan,AFG,Boxing,51-54kg bantamweight men,Summer,20.0
6,Afghanistan,AFG,Boxing,52kg men,Summer,20.0
7,Afghanistan,AFG,Boxing,54-57kg featherweight men,Summer,20.0
8,Afghanistan,AFG,Boxing,57-60kg lightweight men,Summer,20.0
9,Afghanistan,AFG,Boxing,64 - 69 kg men,Summer,20.0
10,Afghanistan,AFG,Football,football men,Summer,100.0
11,Afghanistan,AFG,Hockey,hockey men,Summer,100.0
12,Afghanistan,AFG,Judo,60  66kg halflightweight men,Summer,50.0
13,Afghanistan,AFG,Judo,90 - 100kg (half-heavyweight) men,Summer,50.0
14,Afghanistan,AFG,Shooting,10m Air Rifle Men,Summer,100.0
15,Afghanistan,AFG,Taekwondo,58 - 68 kg men,Summer,40.0
16,Afghanistan,AFG,Taekwondo,68 - 80 kg men,Summer,20.0
17,Afghanistan,AFG,Taekwondo,Beijing 2008 Taekwondo - 58 kg men,Summer,20.0
18,Afghanistan,AFG,Taekwondo,Men +80kg,Summer,20.0
19,Afghanistan,AFG,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men",Summer,9.5
20,Afghanistan,AFG,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men",Summer,4.8
21,Afghanistan,AFG,Wrestling,"Featherweight, Freestyle (≤55 kilograms) Men",Summer,2.4
22,Afghanistan,AFG,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men",Summer,7.1
23,Afghanistan,AFG,Wrestling,"Featherweight, Freestyle (≤63 kilograms) Men",Summer,4.8
24,Afghanistan,AFG,Wrestling,"Featherweight, Greco-Roman (≤62 kilograms) Men",Summer,4.8
25,Afghanistan,AFG,Wrestling,"Featherweight, Greco-Roman (≤63 kilograms) Men",Summer,2.4
26,Afghanistan,AFG,Wrestling,"Flyweight, Freestyle (≤52 kilograms) Men",Summer,11.9
27,Afghanistan,AFG,Wrestling,"Heavyweight, Freestyle (>87 kilograms) Men",Summer,2.4
28,Afghanistan,AFG,Wrestling,"Light-Flyweight, Freestyle (≤48 kilograms) Men",Summer,4.8
29,Afghanistan,AFG,Wrestling,"Light-Heavyweight, Freestyle (≤87 kilograms) Men",Summer,2.4
30,Afghanistan,AFG,Wrestling,"Light-Heavyweight, Freestyle (≤90 kilograms) Men",Summer,4.8
31,Afghanistan,AFG,Wrestling,"Lightweight, Freestyle (≤67 kilograms) Men",Summer,2.4
32,Afghanistan,AFG,Wrestling,"Lightweight, Freestyle (≤68 kilograms) Men",Summer,2.4
33,Afghanistan,AFG,Wrestling,"Lightweight, Freestyle (≤70 kilograms) Men",Summer,4.8
34,Afghanistan,AFG,Wrestling,"Lightweight, Greco-Roman (≤68 kilograms) Men",Summer,4.8
35,Afghanistan,AFG,Wrestling,"Lightweight, Greco-Roman (≤70 kilograms) Men",Summer,2.4
36,Afghanistan,AFG,Wrestling,"Middleweight, Freestyle (≤79 kilograms) Men",Summer,2.4
37,Afghanistan,AFG,Wrestling,"Middleweight, Freestyle (≤82 kilograms) Men",Summer,4.8
38,Afghanistan,AFG,Wrestling,"Middleweight, Freestyle (≤87 kilograms) Men",Summer,2.4
39,Afghanistan,AFG,Wrestling,"Welterweight, Freestyle (≤73 kilograms) Men",Summer,2.4
40,Afghanistan,AFG,Wrestling,"Welterweight, Freestyle (≤74 kilograms) Men",Summer,4.8
41,Afghanistan,AFG,Wrestling,"Welterweight, Freestyle (≤78 kilograms) Men",Summer,4.8
42,Albania,ALB,Alpine Skiing,Ladies’ Giant Slalom,Winter,6.7
43,Albania,ALB,Alpine Skiing,Ladies’ Slalom,Winter,6.7
44,Albania,ALB,Alpine Skiing,Men's Giant Slalom,Winter,6.7
45,Albania,ALB,Alpine Skiing,Men's Slalom,Winter,6.7
46,Albania,ALB,Alpine Skiing,Men’s Giant Slalom,Winter,6.7
47,Albania,ALB,Alpine Skiing,Men’s Slalom,Winter,6.7
48,Albania,ALB,Alpine Skiing,giant slalom men,Winter,20.0
49,Albania,ALB,Alpine Skiing,giant slalom women,Winter,6.7
50,Albania,ALB,Alpine Skiing,slalom men,Winter,20.0
51,Albania,ALB,Alpine Skiing,slalom women,Winter,6.7
52,Albania,ALB,Alpine Skiing,super-G men,Winter,6.7
53,Albania,ALB,Athletics,Women's 3000m Steeplechase,Summer,50.0
54,Albania,ALB,Athletics,heptathlon women,Summer,50.0
55,Albania,ALB,Cycling Road,individual road race men,Summer,100.0
56,Albania,ALB,Judo,48  52kg halflightweight women,Summer,33.3
57,Albania,ALB,Judo,73 - 81kg (half-middleweight) men,Summer,33.3
58,Albania,ALB,Judo,Men -66 kg,Summer,33.3
59,Albania,ALB,Shooting,10m Air Pistol women,Summer,5.6
60,Albania,ALB,Shooting,10m air pistol 40 shots women,Summer,22.2
61,Albania,ALB,Shooting,10m air pistol 60 shots men,Summer,5.6
62,Albania,ALB,Shooting,25m Pistol Women,Summer,5.6
63,Albania,ALB,Shooting,25m pistol 3030 shots women,Summer,27.8
64,Albania,ALB,Shooting,25m rapid fire pistol 60 shots men,Summer,5.6
