,country_name,country_3_letter_code,discipline_title,game_season,percentage
0,Afghanistan,AFG,Athletics,Summer,7.8
1,Afghanistan,AFG,Boxing,Summer,7.8
2,Afghanistan,AFG,Football,Summer,1.6
3,Afghanistan,AFG,Hockey,Summer,4.7
4,Afghanistan,AFG,Judo,Summer,3.1
5,Afghanistan,AFG,Shooting,Summer,1.6
6,Afghanistan,AFG,Taekwondo,Summer,7.8
7,Afghanistan,AFG,Wrestling,Summer,65.6
8,Albania,ALB,Alpine Skiing,Winter,100.0
9,Albania,ALB,Athletics,Summer,3.4
10,Albania,ALB,Cycling Road,Summer,1.7
11,Albania,ALB,Judo,Summer,5.2
12,Albania,ALB,Shooting,Summer,31.0
13,Albania,ALB,Swimming,Summer,19.0
14,Albania,ALB,Weightlifting,Summer,32.8
15,Albania,ALB,Wrestling,Summer,6.9
16,Algeria,ALG,Alpine Skiing,Winter,83.3
17,Algeria,ALG,Athletics,Summer,18.6
18,Algeria,ALG,Badminton,Summer,0.3
19,Algeria,ALG,Boxing,Summer,22.9
20,Algeria,ALG,Canoe Sprint,Summer,0.6
21,Algeria,ALG,Cross Country Skiing,Winter,16.7
22,Algeria,ALG,Cycling Road,Summer,2.9
23,Algeria,ALG,Fencing,Summer,6.7
24,Algeria,ALG,Football,Summer,0.6
25,Algeria,ALG,Gymnastics Artistic,Summer,0.6
26,Algeria,ALG,Handball,Summer,1.2
27,Algeria,ALG,Judo,Summer,12.2
28,Algeria,ALG,Karate,Summer,0.3
29,Algeria,ALG,Marathon Swimming,Summer,0.3
30,Algeria,ALG,Rowing,Summer,2.9
31,Algeria,ALG,Sailing,Summer,1.4
32,Algeria,ALG,Shooting,Summer,0.9
33,Algeria,ALG,Swimming,Summer,10.4
34,Algeria,ALG,Table Tennis,Summer,2.3
35,Algeria,ALG,Taekwondo,Summer,0.3
36,Algeria,ALG,Tennis,Summer,0.6
37,Algeria,ALG,Volleyball,Summer,0.9
38,Algeria,ALG,Weightlifting,Summer,5.5
39,Algeria,ALG,Wrestling,Summer,7.8
40,American Samoa,ASA,Archery,Summer,3.7
41,American Samoa,ASA,Athletics,Summer,3.7
42,American Samoa,ASA,Bobsleigh,Winter,50.0
43,American Samoa,ASA,Boxing,Summer,18.5
44,American Samoa,ASA,Judo,Summer,11.1
45,American Samoa,ASA,Sailing,Summer,7.4
46,American Samoa,ASA,Skeleton,Winter,50.0
47,American Samoa,ASA,Swimming,Summer,14.8
48,American Samoa,ASA,Weightlifting,Summer,29.6
49,American Samoa,ASA,Wrestling,Summer,11.1
50,Andorra,AND,Alpine Skiing,Winter,84.6
51,Andorra,AND,Athletics,Summer,11.4
52,Andorra,AND,Biathlon,Winter,1.4
53,Andorra,AND,Boxing,Summer,2.3
54,Andorra,AND,Canoe Slalom,Summer,6.8
55,Andorra,AND,Cross Country Skiing,Winter,11.2
56,Andorra,AND,Cycling Road,Summer,11.4
57,Andorra,AND,Judo,Summer,11.4
58,Andorra,AND,Sailing,Summer,6.8
59,Andorra,AND,Shooting,Summer,27.3
60,Andorra,AND,Snowboard,Winter,2.8
61,Andorra,AND,Swimming,Summer,22.7
62,Angola,ANG,Athletics,Summer,9.8
63,Angola,ANG,Basketball,Summer,6.5
64,Angola,ANG,Beach Volleyball,Summer,1.1
65,Angola,ANG,Boxing,Summer,8.7
66,Angola,ANG,Canoe Sprint,Summer,3.3
67,Angola,ANG,Handball,Summer,7.6
68,Angola,ANG,Judo,Summer,15.2
69,Angola,ANG,Rowing,Summer,1.1
70,Angola,ANG,Sailing,Summer,5.4
71,Angola,ANG,Shooting,Summer,3.3
72,Angola,ANG,Swimming,Summer,38.0
73,Antigua and Barbuda,ANT,Athletics,Summer,6.1
74,Antigua and Barbuda,ANT,Boxing,Summer,9.1
75,Antigua and Barbuda,ANT,Cycling Mountain Bike,Summer,3.0
76,Antigua and Barbuda,ANT,Cycling Road,Summer,9.1
77,Antigua and Barbuda,ANT,Cycling Track,Summer,27.3
78,Antigua and Barbuda,ANT,Sailing,Summer,27.3
79,Antigua and Barbuda,ANT,Swimming,Summer,18.2
80,Argentina,ARG,Alpine Skiing,Winter,70.3
81,Argentina,ARG,Archery,Summer,0.1
82,Argentina,ARG,Athletics,Summer,7.7
83,Argentina,ARG,Basketball,Summer,0.6
84,Argentina,ARG,Beach Volleyball,Summer,0.7
85,Argentina,ARG,Biathlon,Winter,10.0
86,Argentina,ARG,Bobsleigh,Winter,2.1
87,Argentina,ARG,Boxing,Summer,11.1
88,Argentina,ARG,Canoe Slalom,Summer,0.3
89,Argentina,ARG,Canoe Sprint,Summer,0.8
90,Argentina,ARG,Cross Country Skiing,Winter,12.3
91,Argentina,ARG,Cycling BMX,Summer,0.3
92,Argentina,ARG,Cycling BMX Racing,Summer,0.1
93,Argentina,ARG,Cycling Mountain Bike,Summer,0.7
94,Argentina,ARG,Cycling Road,Summer,3.3
95,Argentina,ARG,Cycling Track,Summer,3.2
96,Argentina,ARG,Diving,Summer,0.4
97,Argentina,ARG,Equestrian,Summer,0.4
98,Argentina,ARG,Equestrian Dressage,Summer,0.5
99,Argentina,ARG,Equestrian Eventing,Summer,2.5
100,Argentina,ARG,Equestrian Jumping,Summer,3.9
101,Argentina,ARG,Fencing,Summer,4.3
102,Argentina,ARG,Figure skating,Summer,0.1
103,Argentina,ARG,Football,Summer,0.7
104,Argentina,ARG,Freestyle Skiing,Winter,0.8
105,Argentina,ARG,Golf,Summer,0.2
106,Argentina,ARG,Gymnastics Artistic,Summer,4.8
107,Argentina,ARG,Handball,Summer,0.3
108,Argentina,ARG,Hockey,Summer,1.4
109,Argentina,ARG,Judo,Summer,4.1
110,Argentina,ARG,Luge,Winter,2.6
111,Argentina,ARG,Marathon Swimming,Summer,0.3
112,Argentina,ARG,Modern Pentathlon,Summer,1.1
113,Argentina,ARG,Polo,Summer,0.1
114,Argentina,ARG,Rowing,Summer,3.2
115,Argentina,ARG,Rugby,Summer,0.1
116,Argentina,ARG,Rugby Sevens,Summer,0.1
117,Argentina,ARG,Sailing,Summer,7.2
118,Argentina,ARG,Shooting,Summer,9.0
119,Argentina,ARG,Skeleton,Winter,0.3
120,Argentina,ARG,Snowboard,Winter,1.0
121,Argentina,ARG,Speed skating,Winter,0.5
122,Argentina,ARG,Swimming,Summer,10.3
123,Argentina,ARG,Synchronized Swimming,Summer,0.1
124,Argentina,ARG,Table Tennis,Summer,0.9
125,Argentina,ARG,Taekwondo,Summer,0.6
126,Argentina,ARG,Tennis,Summer,5.5
127,Argentina,ARG,Triathlon,Summer,0.5
128,Argentina,ARG,Volleyball,Summer,0.7
129,Argentina,ARG,Water Polo,Summer,0.3
130,Argentina,ARG,Weightlifting,Summer,2.6
131,Argentina,ARG,Wrestling,Summer,5.0
132,Armenia,ARM,Alpine Skiing,Winter,25.5
133,Armenia,ARM,Artistic Gymnastics,Summer,0.7
134,Armenia,ARM,Athletics,Summer,1.3
135,Armenia,ARM,Bobsleigh,Winter,3.9
136,Armenia,ARM,Boxing,Summer,14.0
137,Armenia,ARM,Cross Country Skiing,Winter,58.8
138,Armenia,ARM,Cycling Road,Summer,0.7
139,Armenia,ARM,Diving,Summer,2.0
140,Armenia,ARM,Figure skating,Winter,9.8
141,Armenia,ARM,Freestyle Skiing,Winter,2.0
142,Armenia,ARM,Gymnastics Artistic,Summer,0.7
143,Armenia,ARM,Judo,Summer,4.7
144,Armenia,ARM,Shooting,Summer,6.7
145,Armenia,ARM,Swimming,Summer,6.0
146,Armenia,ARM,Taekwondo,Summer,0.7
147,Armenia,ARM,Tennis,Summer,2.0
148,Armenia,ARM,Weightlifting,Summer,25.3
149,Armenia,ARM,Wrestling,Summer,35.3
150,Aruba,ARU,Athletics,Summer,11.4
151,Aruba,ARU,Boxing,Summer,5.7
152,Aruba,ARU,Cycling Road,Summer,8.6
153,Aruba,ARU,Fencing,Summer,5.7
154,Aruba,ARU,Judo,Summer,11.4
155,Aruba,ARU,Sailing,Summer,8.6
156,Aruba,ARU,Shooting,Summer,2.9
157,Aruba,ARU,Swimming,Summer,25.7
158,Aruba,ARU,Synchronized Swimming,Summer,8.6
159,Aruba,ARU,Taekwondo,Summer,2.9
160,Aruba,ARU,Weightlifting,Summer,8.6
